query_id,post_id,label,reason
c01,4348,1,анонс нового трейлера
c01,5223,1,"премьера фильма, не трейлер"
c02,4339,1,"кадр из тизера, не постер"
c02,4768,1,"промо-коллаб к выходу, не постер (чёрный кадр)"
c02,4922,0,график сборов студий
c02,19379,2,на картинке постер фильма
c04,5585,2,рекорды сборов
c04,5595,2,"1,15 млрд, самый кассовый фильм года"
c04,20791,1,"расходы на маркетинг, не сборы"
c04,21002,2,"1,67 млрд за две недели"
c04,21705,2,"900 млн / 2,33 млрд"
c05,2621,2,"премьера в Каннах, рецензия"
c05,3582,2,реакция критиков в Каннах
c05,3592,1,"обзор Канн, «Минотавр» — один из пунктов"
c05,3725,1,"постеры фильмов Звягинцева, не Канны"
c05,3760,1,"выдвижение на «Оскар», не Канны"
c05,4570,0,"Канны, другой фильм"
c05,13002,1,"сатира о фильме, не Канны"
c06,7648,2,обложка №17 за 1987 год
c07,6326,0,"«Последний Ронин 2», не о «Мумии»"
c08,2430,1,"хоррор A24, Blumhouse только упомянут"
c08,6639,1,"маркетинг «Обсессии» (Blumhouse), не о новых хоррорах"
c08,20022,0,"WB Animation, не Blumhouse"
c09,2456,1,"лекции о советском кино, не что смотреть"
c09,2518,2,подборка советской классики в кино
c09,7656,1,биография актрисы с фильмографией
c10,5017,0,"другой фильм, других актёров"
c10,5447,2,Дэймон подтвердил главную роль
c10,6571,0,"подкаст о стильных фильмах, Дэймона нет"
c10,19232,2,новый фильм с Дэймоном
c11,4275,0,"другая новость о Тарантино, Дано нет"
c11,5735,0,мем про Дауни
c11,14721,0,политическая сатира
c12,20392,0,другой сериал
c12,20838,1,"кастинг Атрея, не Кратоса"
c13,4154,2,постер нового фильма Скотта
c13,7225,2,трейлер нового фильма Скотта
c13,7274,0,"упоминание старой экранизации, не новости"
c13,21458,2,отзывы на новый фильм Скотта
h01,4735,0,операторская работа в «Мюнхене»
h01,8592,1,"мем про работу, не про дедлайн"
h01,10972,0,пара на улице
h01,23510,0,заголовок про коз
h02,16612,1,"кот, другой мем"
h02,17424,1,"котёнок у двери, другой мем"
h04,15408,2,резюме и эйчары
h04,15527,2,ИИ-рекрутер
h05,11080,2,четвёртые сутки без электронок
h05,11322,0,пустой пост
h05,20873,0,пустой пост
h07,16816,0,другой мем («первый босс»)
h08,7955,1,розыгрыш подушки
h08,13935,1,итоги розыгрыша зина
h08,16828,1,шутка про розыгрыш
h09,8563,0,кот и взросление
h09,17290,2,"«вставай, пора выполнять дейлики» — та же шутка"
h09,21633,0,«Пора!» — мем про 3 сентября
h09,25330,0,письмо Лема о капиталистах
h10,1974,0,мем про львов
h10,4175,0,сборы Марио
h10,10552,1,"мат на камеру, другой человек"
h11,7395,0,пустой пост
h11,17890,0,иллюстратор
h11,24742,0,книга Желязны
h12,10655,1,казахстанская симка
h12,10815,0,машина в снегу
h12,11408,0,ссылка без содержания
h12,15747,0,словарь зумеров
h12,20989,2,казахская свадьба Человека-паука
h13,10603,0,изъятие активов
h13,22768,0,физическая активность детей
h14,17516,2,котёнок и имейл в УК
s01,18157,1,"запуск миссии, не снимки Луны"
s03,25840,2,о грядущем сериале
s03,25932,2,впечатления от 2-й серии
s04,20849,1,"дайджест подкаста, Star Trek нет"
s04,21403,1,"подкаст, выпуск про крипипасты"
s06,2140,0,"орган (музыка), омоним"
s06,21886,1,"оцифрованный мозг мухи — рядом, не органоиды"
s06,22024,0,"дайджест недели, не о теме"
s07,9220,0,"мем, омоним"
s07,18951,1,"НФ-фильм «в духе Прибытия», не Лем"
s07,24491,2,прямо про Лема и его прогноз
s08,321,2,новое издание «Грибов с Юггота»
s08,684,2,спор об ИИ в «Мифологии Лавкрафта»
s08,776,2,новая комикс-антология по Лавкрафту
s08,1302,1,иллюстратор изданий Лавкрафта
s08,1394,2,новое иллюстрированное издание
s08,25692,1,сборник поэзии Лавкрафта среди других покупок
s09,18555,1,"срок выхода сезона, не трейлер"
s10,19448,2,трейлер 11-й редакции настолки
s10,20837,2,CRPG Dark Heresy
s10,20877,1,"сериал, не игра"
s10,21010,1,"книга, не игра"
s11,23768,2,сводка по вспышке
s12,19502,0,"день рождения художника, не розыгрыш"
s13,383,1,встреча с комиксистом
s13,2717,0,тексты о кино
s13,18520,2,интервью с писателем-фантастом
s13,25092,1,"статья о прогнозах фантастов, не интервью"
