query_id,post_id,found_by
c01,4348,bm25:full@1 dense:full@3 hybrid+rerank:full@7 hybrid+rerank:text@7 hybrid+rerank:text_ocr_caption@7 hybrid:full@4 hybrid:text@5 hybrid:text_ocr@5 hybrid:text_ocr_caption@4
c01,4376,bm25:full@2 dense:full@2 hybrid+rerank:full@6 hybrid+rerank:text@6 hybrid+rerank:text_ocr_caption@6 hybrid:full@1 hybrid:text@1 hybrid:text_ocr@1 hybrid:text_ocr_caption@1 sparse:full@1
c01,4828,bm25:full@3 dense:full@4 hybrid+rerank:full@4 hybrid+rerank:text@4 hybrid+rerank:text_ocr_caption@4 hybrid:full@8 hybrid:text@8 hybrid:text_ocr@8 hybrid:text_ocr_caption@8
c01,4377,bm25:full@4 dense:full@1 hybrid:full@2 hybrid:text@2 hybrid:text_ocr@2 hybrid:text_ocr_caption@2
c01,5050,bm25:full@5 dense:full@11 hybrid+rerank:full@13
c01,4905,bm25:full@6
c01,4990,bm25:full@7 dense:full@5 hybrid:full@9 hybrid:text@9 hybrid:text_ocr@9 hybrid:text_ocr_caption@9
c01,18712,bm25:full@8
c01,5231,bm25:full@9 dense:full@8
c01,5075,bm25:full@10
c01,5223,bm25:full@11
c01,5083,bm25:full@12
c01,4999,bm25:full@13
c01,4764,bm25:full@14
c01,5544,bm25:full@15
c01,5836,bm25:full@16
c01,4839,bm25:full@17 hybrid+rerank:full@16 sparse:full@8
c01,5527,bm25:full@18
c01,19234,bm25:full@19 sparse:full@7
c01,20921,bm25:full@20
c01,18975,dense:full@6
c01,5167,dense:full@7 hybrid+rerank:full@14 hybrid:full@5 hybrid:text@4 hybrid:text_ocr@4 hybrid:text_ocr_caption@5 sparse:full@4
c01,4827,dense:full@9 hybrid+rerank:full@8 hybrid+rerank:text@8 hybrid+rerank:text_ocr_caption@8
c01,20101,dense:full@10 hybrid+rerank:full@1 hybrid+rerank:text@1 hybrid+rerank:text_ocr_caption@1 hybrid:full@7 hybrid:text@7 hybrid:text_ocr@7 hybrid:text_ocr_caption@7 sparse:full@6
c01,4800,dense:full@12 hybrid+rerank:full@12
c01,18840,dense:full@13 hybrid+rerank:full@5 hybrid+rerank:text@5 hybrid+rerank:text_ocr_caption@5 hybrid:full@10 hybrid:text@10 hybrid:text_ocr@10 hybrid:text_ocr_caption@10 sparse:full@9
c01,5235,dense:full@14
c01,20401,dense:full@15
c01,5121,dense:full@16
c01,20371,dense:full@17 hybrid+rerank:full@3 hybrid+rerank:text@3 hybrid+rerank:text_ocr_caption@3 hybrid:full@3 hybrid:text@3 hybrid:text_ocr@3 hybrid:text_ocr_caption@3 sparse:full@2
c01,4846,dense:full@18 hybrid+rerank:full@11
c01,20232,dense:full@19
c01,5340,dense:full@20
c01,5186,hybrid+rerank:full@2 hybrid+rerank:text@2 hybrid+rerank:text_ocr_caption@2 hybrid:full@6 hybrid:text@6 hybrid:text_ocr@6 hybrid:text_ocr_caption@6 sparse:full@3
c01,5420,hybrid+rerank:full@10 hybrid+rerank:text@10 hybrid+rerank:text_ocr_caption@10 sparse:full@5
c01,6905,hybrid+rerank:full@9 hybrid+rerank:text@9 hybrid+rerank:text_ocr_caption@9 sparse:full@10
c01,5205,hybrid+rerank:full@15
c01,3038,hybrid+rerank:full@17
c01,5826,hybrid+rerank:full@18
c01,2893,hybrid+rerank:full@19
c01,5640,hybrid+rerank:full@20
c02,4768,bm25:full@1 dense:full@18 sparse:full@8
c02,19015,bm25:full@2 dense:full@2 hybrid+rerank:full@1 hybrid+rerank:text@1 hybrid+rerank:text_ocr_caption@1 hybrid:full@1 hybrid:text@1 hybrid:text_ocr@1 hybrid:text_ocr_caption@1 sparse:full@1
c02,18807,bm25:full@3 dense:full@1 hybrid+rerank:full@3 hybrid+rerank:text@3 hybrid+rerank:text_ocr_caption@3 hybrid:full@2 hybrid:text@2 hybrid:text_ocr@2 hybrid:text_ocr_caption@2
c02,5771,bm25:full@4 dense:full@20 hybrid+rerank:full@4 hybrid+rerank:text@4 hybrid+rerank:text_ocr_caption@4
c02,4314,bm25:full@5 dense:full@4 hybrid+rerank:full@5 hybrid+rerank:text@5 hybrid+rerank:text_ocr_caption@5 hybrid:full@8 hybrid:text@8 hybrid:text_ocr@7 hybrid:text_ocr_caption@8
c02,18836,bm25:full@6 dense:full@13 hybrid+rerank:full@11 hybrid:full@9 hybrid:text@9 hybrid:text_ocr@8 hybrid:text_ocr_caption@9 sparse:full@6
c02,4339,bm25:full@7 dense:full@3 hybrid+rerank:full@9 hybrid+rerank:text@9 hybrid+rerank:text_ocr_caption@9 hybrid:full@5 hybrid:text@5 hybrid:text_ocr@6 hybrid:text_ocr_caption@5
c02,18595,bm25:full@8 dense:full@19
c02,21685,bm25:full@9
c02,18614,bm25:full@10
c02,19337,bm25:full@11 dense:full@17 sparse:full@9
c02,4922,bm25:full@12
c02,5038,bm25:full@13
c02,19474,bm25:full@14
c02,20156,bm25:full@15
c02,6036,bm25:full@16 hybrid+rerank:full@19 hybrid:full@7 hybrid:text@4 hybrid:text_ocr@9 hybrid:text_ocr_caption@7 sparse:full@4
c02,4850,bm25:full@17
c02,19582,bm25:full@18
c02,5035,bm25:full@19
c02,19208,bm25:full@20
