query_id,post_id,grade,reason,model,seconds
c01,4348,2,Post announces the trailer release,qwen3.6-35b-a3b,7.61
c01,4376,2,Post directly provides the requested trailer,qwen3.6-35b-a3b,7.33
c01,4828,2,Post explicitly mentions Nolan's Odyssey trailer,qwen3.6-35b-a3b,3.08
c01,4377,1,"Post mentions poster, not trailer",qwen3.6-35b-a3b,4.17
c01,5050,2,Post explicitly mentions the trailer for Nolan's Odyssey,qwen3.6-35b-a3b,4.40
c01,4905,1,"Related merchandise, not the trailer itself",qwen3.6-35b-a3b,4.54
c01,4990,1,Mentions the film but not the trailer,qwen3.6-35b-a3b,5.22
c01,18712,1,"Shows a still, not the trailer",qwen3.6-35b-a3b,5.67
c01,5231,2,Post confirms the premiere of Nolan's Odyssey,qwen3.6-35b-a3b,5.88
c01,5075,2,Post discusses Nolan's Odyssey film details,qwen3.6-35b-a3b,5.07
c01,5223,1,"Mentions premiere, not the trailer itself",qwen3.6-35b-a3b,4.79
c01,5083,1,"Shows actors, not the trailer itself",qwen3.6-35b-a3b,7.99
c01,4999,2,Post shows new promo for Nolan's Odyssey,qwen3.6-35b-a3b,7.91
c01,4764,1,"Mentions prop, not the trailer itself",qwen3.6-35b-a3b,8.66
c01,5544,1,"Mentions Nolan and Odyssey premiere, not trailer",qwen3.6-35b-a3b,7.01
c01,5836,0,"Shows actress, not the trailer",qwen3.6-35b-a3b,4.19
c01,4839,1,"Post shows poster and ticket sales, not the trailer itself.",qwen3.6-35b-a3b,6.46
c01,5527,0,"Post discusses box office, not the trailer",qwen3.6-35b-a3b,6.37
c01,19234,1,"News about runtime, not the trailer itself",qwen3.6-35b-a3b,6.39
c01,20921,2,Post shows new photos from the filming of Nolan's Odyssey,qwen3.6-35b-a3b,6.03
c01,18975,1,"Shows Nolan on set, not the trailer",qwen3.6-35b-a3b,4.98
c01,5167,2,Post explicitly mentions the trailer for Nolan's Odyssey,qwen3.6-35b-a3b,5.21
c01,4827,1,"Poster, not a trailer",qwen3.6-35b-a3b,5.03
c01,20101,2,Post discusses the trailer of Nolan's Odyssey,qwen3.6-35b-a3b,5.31
c01,4800,1,"Shows behind-the-scenes, not the trailer itself",qwen3.6-35b-a3b,4.66
c01,18840,2,Post announces the Nolan Odyssey trailer,qwen3.6-35b-a3b,4.63
c01,5235,1,"Shows premiere, not the trailer itself",qwen3.6-35b-a3b,5.77
c01,20401,0,"Post discusses box office, not the trailer",qwen3.6-35b-a3b,7.20
c01,5121,2,Post shows poster and frame from Nolan's Odyssey,qwen3.6-35b-a3b,7.01
c01,20371,1,Mentions Nolan's Odyssey but focuses on AI film,qwen3.6-35b-a3b,11.06
c01,4846,2,Post shows the requested movie poster,qwen3.6-35b-a3b,4.85
c01,20232,0,"No trailer shown, only news",qwen3.6-35b-a3b,5.88
c01,5340,0,"Post is a review, not a trailer.",qwen3.6-35b-a3b,13.69
c01,5186,1,"Discussion of trailer reception, not the trailer itself",qwen3.6-35b-a3b,15.17
c01,5420,0,"Post is about Grok, not Nolan's film",qwen3.6-35b-a3b,12.30
c01,6905,1,"Discusses trailer reception, not the trailer itself",qwen3.6-35b-a3b,15.06
c01,5205,2,Post discusses the Nolan Odyssey trailer,qwen3.6-35b-a3b,12.44
c01,3038,0,"Post discusses release, not the trailer itself",qwen3.6-35b-a3b,8.45
c01,5826,0,"Post discusses Odyssey box office, not Nolan trailer",qwen3.6-35b-a3b,8.25
c01,2893,0,"Post discusses interview, not trailer",qwen3.6-35b-a3b,9.37
c01,5640,0,"Fake concept, not a real trailer",qwen3.6-35b-a3b,6.50
c02,4768,1,"Mentions A24 and the film, but not posters",qwen3.6-35b-a3b,7.15
c02,19015,0,"Post is about teaser, not posters",qwen3.6-35b-a3b,8.30
c02,18807,0,"Post shows frames, not posters.",qwen3.6-35b-a3b,5.20
c02,5771,0,"Post discusses film news, not posters.",qwen3.6-35b-a3b,6.01
c02,4314,1,"Mentions the film but shows a teaser, not posters",qwen3.6-35b-a3b,5.27
c02,18836,0,"Post shows a frame, not a poster",qwen3.6-35b-a3b,4.31
c02,4339,1,"Mentions the film but shows a teaser, not posters",qwen3.6-35b-a3b,4.70
c02,18595,0,"Post shows frames, not posters",qwen3.6-35b-a3b,6.54
c02,21685,0,"Post discusses Hideo Kojima, not posters",qwen3.6-35b-a3b,5.59
c02,18614,0,"No posters shown, only behind-the-scenes photo",qwen3.6-35b-a3b,6.17
c02,19337,1,Mentions film but no posters shown,qwen3.6-35b-a3b,5.14
c02,4922,1,"Mentions film and studio, but no posters",qwen3.6-35b-a3b,6.04
c02,5038,0,"No posters shown, only box office stats",qwen3.6-35b-a3b,5.11
c02,19474,0,"News about sequel, not posters",qwen3.6-35b-a3b,4.55
c02,20156,1,"Mentions film but discusses liminal spaces, not posters",qwen3.6-35b-a3b,7.05
c02,6036,0,"Post discusses sequel rumors, not posters.",qwen3.6-35b-a3b,6.49
c02,4850,1,Mentions film but no posters shown,qwen3.6-35b-a3b,7.23
c02,19582,0,"Post discusses director's interest in Portal, not posters.",qwen3.6-35b-a3b,8.98
c02,5035,0,"Post is about Batman, not the requested film",qwen3.6-35b-a3b,9.81
c02,19208,0,Posters for a different film,qwen3.6-35b-a3b,6.95
c02,4835,2,Post shows poster for the specified film,qwen3.6-35b-a3b,5.90
c02,4920,2,Post shows poster for the specified film,qwen3.6-35b-a3b,8.49
c02,4650,2,Post shows poster for the specified film,qwen3.6-35b-a3b,8.14
c02,19379,1,Mentions film but no posters shown,qwen3.6-35b-a3b,4.55
c02,5026,2,Post shows poster for the specified film,qwen3.6-35b-a3b,4.01
c02,4730,2,Post shows poster for the specified film,qwen3.6-35b-a3b,4.27
c02,4072,2,Post shows poster for the specified film,qwen3.6-35b-a3b,3.72
c02,4818,2,Post shows poster for specified film,qwen3.6-35b-a3b,6.03
c02,4767,1,"Related to A24 film, but sells wallpaper, not posters",qwen3.6-35b-a3b,6.54
c02,18109,0,"Post is about trailer, not posters",qwen3.6-35b-a3b,4.85
c02,5132,0,"Post discusses extended cut, not posters.",qwen3.6-35b-a3b,4.89
c02,4824,0,"Post discusses box office, not posters",qwen3.6-35b-a3b,6.36
c02,6836,0,"Post discusses A24 marketing, not the specific poster.",qwen3.6-35b-a3b,10.02
c02,6942,0,"Post discusses copyright, not posters",qwen3.6-35b-a3b,7.68
c02,4807,2,Directly shows the requested posters,qwen3.6-35b-a3b,7.50
c02,6623,0,"Post discusses film lore, not posters",qwen3.6-35b-a3b,10.52
c03,6061,2,Discusses candidates for new James Bond role,qwen3.6-35b-a3b,10.98
c03,18665,2,Discusses potential new James Bond actor,qwen3.6-35b-a3b,6.27
c03,6102,2,Directly answers the query about the new James Bond actor.,qwen3.6-35b-a3b,8.44
c03,19067,1,"Related news about Bond casting, not the answer",qwen3.6-35b-a3b,6.69
c03,21074,0,"Post is about Harry Potter, not James Bond",qwen3.6-35b-a3b,5.89
c03,20882,1,Mentions Bond casting but no name,qwen3.6-35b-a3b,4.24
c03,4523,1,"Mentions casting, but no actor named",qwen3.6-35b-a3b,5.51
c03,6329,2,User asks who plays Bond; post names Yulan,qwen3.6-35b-a3b,6.84
c03,21429,0,"Post is about RoboCop, not James Bond",qwen3.6-35b-a3b,6.33
c03,19734,0,"Post is about Indiana Jones, not James Bond casting.",qwen3.6-35b-a3b,7.78
c03,18849,0,"Post discusses games, not the actor.",qwen3.6-35b-a3b,7.17
c03,4311,2,Mentions Callum Turner as Bond candidate,qwen3.6-35b-a3b,11.85
c03,5365,0,"Post is about God of War, not James Bond",qwen3.6-35b-a3b,15.21
c03,6105,0,"Post discusses script, not actor casting",qwen3.6-35b-a3b,10.88
c03,5664,0,"Post is about a different movie, not Bond casting",qwen3.6-35b-a3b,4.81
c03,18900,0,"Post is about Avatar lawsuit, not Bond",qwen3.6-35b-a3b,6.26
c03,5683,2,Directly answers the query with a specific candidate.,qwen3.6-35b-a3b,12.06
c03,3957,0,"Post is about Lord of the Rings, not James Bond",qwen3.6-35b-a3b,9.15
c03,6067,1,Confirms casting but does not name the actor,qwen3.6-35b-a3b,6.58
c03,21683,0,"Post is about Harry Potter, not James Bond",qwen3.6-35b-a3b,11.16
c03,5156,2,Directly answers who will not play Bond,qwen3.6-35b-a3b,12.59
c03,6040,2,Directly addresses the query about the new Bond actor,qwen3.6-35b-a3b,9.22
c03,18924,0,"Post is about Batman, not James Bond",qwen3.6-35b-a3b,3.33
c03,5494,0,"Post is about The Mummy, not James Bond",qwen3.6-35b-a3b,5.01
c03,3823,0,"Post is about Harry Potter, not James Bond",qwen3.6-35b-a3b,4.92
c03,19726,1,"Mentions new Bond director, not actor",qwen3.6-35b-a3b,6.13
c03,20900,0,"Post is about The Mummy, not James Bond",qwen3.6-35b-a3b,6.96
c03,19132,0,"Post is about Green Lantern, not James Bond.",qwen3.6-35b-a3b,9.54
c03,6086,0,"Post shows old posters, not new Bond actor",qwen3.6-35b-a3b,15.23
c03,19265,0,"Post discusses screenwriter, not actor",qwen3.6-35b-a3b,11.22
c03,19580,1,"Discusses Bond actors, not new casting",qwen3.6-35b-a3b,7.82
c03,20656,0,"Post is about Black Panther, not James Bond",qwen3.6-35b-a3b,5.13
c03,19429,0,"Post discusses Star Wars, not James Bond",qwen3.6-35b-a3b,5.49
c03,5477,0,"Post is about Ghost Rider, not James Bond",qwen3.6-35b-a3b,10.77
c04,21705,2,Directly answers the query about box office,qwen3.6-35b-a3b,5.43
c04,20336,0,"Promo and release date, not box office",qwen3.6-35b-a3b,6.04
c04,19038,1,Mentions film but no box office data,qwen3.6-35b-a3b,5.42
c04,20281,0,"Post discusses trailer, not box office revenue",qwen3.6-35b-a3b,4.81
c04,19553,1,Mentions film but no box office data,qwen3.6-35b-a3b,7.14
c04,20980,0,"Post discusses filming, not box office revenue.",qwen3.6-35b-a3b,6.66
c04,5277,1,Mentions film but no box office data,qwen3.6-35b-a3b,7.33
c04,20391,0,"Promo info, not box office data",qwen3.6-35b-a3b,5.91
c04,20363,1,"Promotional news, not box office data",qwen3.6-35b-a3b,5.04
c04,19906,0,"Post is about trailer, not box office",qwen3.6-35b-a3b,6.18
c04,20875,1,Mentions film but focuses on game sales,qwen3.6-35b-a3b,5.61
c04,20530,0,"Post discusses trailer, not box office",qwen3.6-35b-a3b,6.23
c04,20791,0,"Post discusses marketing costs, not box office revenue.",qwen3.6-35b-a3b,8.89
c04,5740,2,Directly answers the query about box office,qwen3.6-35b-a3b,5.46
c04,5443,1,Mentions film but focuses on giveaway,qwen3.6-35b-a3b,6.70
c04,20549,2,Mentions Spider-Man: New Day box office,qwen3.6-35b-a3b,7.95
c04,20799,1,Mentions film but not box office,qwen3.6-35b-a3b,5.18
c04,5506,0,"Post discusses reviews, not box office revenue.",qwen3.6-35b-a3b,11.17
c04,20742,1,"Same film, but different topic",qwen3.6-35b-a3b,9.09
c04,21085,0,"Post is about a fan poster, not box office",qwen3.6-35b-a3b,4.85
c04,20284,2,Directly answers the query about box office,qwen3.6-35b-a3b,3.04
c04,4749,1,Related film but no box office data,qwen3.6-35b-a3b,4.86
c04,5585,2,Directly answers query about box office,qwen3.6-35b-a3b,4.78
c04,5561,2,Directly answers the query about box office,qwen3.6-35b-a3b,5.60
c04,4765,1,Related film but no box office data,qwen3.6-35b-a3b,5.50
c04,20958,2,Directly answers the query about box office,qwen3.6-35b-a3b,4.64
c04,5275,0,"Post shows a Lego poster, not box office data",qwen3.6-35b-a3b,6.42
c04,20834,2,Directly answers the query about box office,qwen3.6-35b-a3b,4.46
