post_id,topic,image,gold,check
11498,humor,11498.jpg,ЧЕМПИОНАТ голосуй Матч-центр Новости Эфир Топ-матчи Видео Аргентинский комментатор назвал Францию «африканской командой» во время матча ЧМ-2026,MODELS DISAGREE — look closely
8988,humor,8988.jpg,RAMEN,
13743,humor,13743.jpg,Лае Фаршир,MODELS DISAGREE — look closely
1921,humor,1921.jpg,,
16882,humor,16882.jpg,"я всякий раз когда холодильник забит едой, которую нужно готовить капец, кушать нечего! придётся заказывать роллы или питсу",MODELS DISAGREE — look closely
15237,humor,15237.jpg,газета.ru Новости Россиян предупредили об ответственности за кражу чужого йогурта на работе Адвокат Глазкова: взятие чужой еды на работе может расцениваться как кража Евгений Одинцов,
10973,humor,10973.jpg,,
1669,humor,1669.jpg,"И КОГДА НАЧНЕТСЯ ВОССТАНИЕ МАШИН? ОНО УЖЕ НАЧАЛОСЬ В СМЫСЛЕ? А ДУМАЕШЬ ПОЧЕМУ МИКРОВОЛНОВКА ГРЕЕТ ТАРЕЛКУ, А НЕ ЕДУ?",
14222,humor,14222.jpg,,
15661,humor,15661.jpg,"O + (N × S) + Cpm/T + He Расшифровка переменных: • O (Outdoors) — время, проведенное на свежем воздухе. • N (Nature) — контакт с природой (например, распускающиеся цветы). • S (Social interaction) — общение и социальные связи (беседы, встречи с близкими). • Cpm (Childhood summer memories) — ностальгия и теплые воспоминания о летних днях из детства. • T (Temperature) — температура воздуха, комфортная для вас. • He (Holiday excitement) — предвкушение грядущего отпуска или поездки.",MODELS DISAGREE — look closely
12235,humor,12235.jpg,"yadra.chu ядра чу · грязь E Подписаться авг 21 пт Концерт • 16+ Ядра чу Tago Mago • 19:00 Купить билет от 500 ₽ 393 15 5 359 yadra.chu Еду в Нижний Новгород, товарищи 🤫 1 день назад",
16250,humor,16250.jpg,НЕВЕРУЮЩИЕ В ГНОМОВ ХУЕКРАДОВ ТАКИЕ ТИПА НУ ДОЛЖНО БЫТЬ ДЫРКИ В ТРУСАХ ПОЯВЛЯЮТСЯ ИЗ-ЗА ТОГО ЧТО Я ПЕРДУН,MODELS DISAGREE — look closely
17536,humor,17536.jpg,у всех подписчиков этого паблика самое офигенное давление,
9191,humor,9191.jpg,КАК МОЖНО НЕ ЛЮБИТЬ? МЯСНЫЕ ПРЯНИКИ,
9290,humor,9290.jpg,,
15835,humor,15835.jpg,_evkass_ > рек 6h До и после 😂 1/2,MODELS DISAGREE — look closely
14029,humor,14029.jpg,"R @rjb_1998 Читать Исходный язык — английский, переведено Grok Не могу поверить, что IKEA заставила меня пройти 13 шагов, прежде чем сообщить, что мне нужна жена Оцените этот перевод: 13 1x 12",MODELS DISAGREE — look closely
9124,humor,9124.jpg,ДОБРО ПОЖАЛОВАТЬ КУДА? :Е В ААД БЛЯЯЯ..ТЕПЕРЬ ТЫ БУДЕШ ВЕЧНО ТАМ ГОРЕТЬ ВСПОМНЮ ХОТЬ СВОЮ ЖИЗНЬ мне на все пох СПРАВЕДЛИВО,MODELS DISAGREE — look closely
17325,humor,17325.jpg,"бля уйдите нахуй ТЕЛЕГРАМ КАНАЛ: ПРОДАВАЛИ МЕТАЛЛ стенку в ""отдам даром"" фоткаю",
14519,humor,14519.jpg,"Trump appointees push $250 banknote with his portrait The printing director who resisted the effort said she was reassigned last month. “The buck stopped here,” she wrote in her goodbye. May 28, 2026 at 7:42 a.m. EDT 250 FEDERAL RESERVE NOTE PT45474547 DT1 UNITED STATES OF AMERICA 250 AMERICA ANNIVERSARY PT45474547DT1 250 250 Ian Alexander '25",MODELS DISAGREE — look closely
15942,humor,15942.jpg,_bekkkzod_ 1d ÜLKER Albeni Bites 113 3,MODELS DISAGREE — look closely
9903,humor,9903.jpg,"я отверг девушку из-за лишнего веса Отказывать человеку исключительно из-за лишнего веса — это поверхностный поступок, который часто говорит о незрелости и зависимости от чужого мнения. Фокусируясь только на килограммах, вы обесцениваете личность человека и упускаете шанс на глубокие, искренние отношения.",
9557,humor,9557.jpg,КАК ЖЕ БЕСИТ ЭТОТ ПУТЬ ОТ КРОВАТИ ДО РАБОТЫ,
11547,humor,11547.jpg,,
14961,humor,14961.jpg,USA,
