post_id,topic,channel,signal
2124,cinema,kinolikbez,dislike
2130,cinema,kinolikbez,like
3242,cinema,seance_light,like
3333,cinema,seance_light,dislike
5424,cinema,Cronenberg1664,dislike
6157,cinema,Cronenberg1664,dislike
7058,cinema,shishkino,dislike
7106,cinema,shishkino,like
7344,cinema,RocketMan_kosmodrom,like
7638,cinema,sovet_kino,dislike
7773,cinema,sovet_kino,dislike
7967,cinema,fear_room,like
9809,humor,am_devs,dislike
10191,humor,am_devs,dislike
11723,humor,luka_ebkov,dislike
12406,humor,luka_ebkov,dislike
13568,humor,ia_panorama,dislike
13633,humor,ia_panorama,dislike
14050,humor,leninstreet,like
14716,humor,dfhumor,dislike
14817,humor,dfhumor,dislike
15725,humor,ca11_you,dislike
17549,humor,ebanutie_otkritki,dislike
17584,humor,ebanutie_otkritki,dislike
21021,scifi,mirf_ru,like
21484,scifi,mirf_ru,like
24089,scifi,nplusone,dislike
24232,scifi,nplusone,like
24479,scifi,theworldisnoteasy,dislike
24497,scifi,theworldisnoteasy,like
24558,scifi,lleodnevnik,dislike
24759,scifi,SpeculativeFiction,like
24960,scifi,dmitrii_sff,dislike
25237,scifi,bratrazum,dislike
25352,scifi,bratrazum,dislike
25864,scifi,starlighthousekeeping,like
